Geography,No income,R 1 - R 400,R 401 - R 800,R 801 - R 1 600,R 1 601 - R 3 200,R 3 201 - R 6 400,R 6 401 - R 12 800,R 12 801 - R 25 600,R 25 601 - R 51 200,R 51 201 - R 102 400,R 102 401 - R 204 800,R 204 801 or more,Unspecified,Not applicable
83103021: Ward 21,44.207062,8.2191006,2.818117,7.7321232,7.5024519,7.0918164,5.9005981,3.8622219,0.4543461,0.0195734,0.018688,0.0732106,12.1006908,0
83103022: Ward 22,49.5414653,10.6500369,3.2477637,12.7675214,7.3794282,7.1493161,4.2520069,1.4547089,0.2655513,0,0.1386895,0.0320338,3.121478,0
83103023: Ward 23,42.036361,12.2799599,2.5508217,9.2115336,9.0899965,7.2770565,4.8744998,2.129744,0.3276644,0.0321772,0.0179697,0.0534911,10.1187245,0
83103024: Ward 24,42.5571521,14.8371215,3.2289222,10.0408443,10.8298377,6.9634896,5.0292071,1.2237402,0,0,0.0596056,0,5.2300797,0
83103025: Ward 25,39.3558725,16.352897,3.0450699,11.2597027,9.8780627,6.4909165,2.9481377,0.802612,0.2198009,0.0180774,0.0523177,0.0086298,9.567903,0
83103026: Ward 26,36.8054854,12.9865366,2.330213,11.2371766,10.5623777,5.8789774,2.1705692,0.8676823,0.3625201,0.0513348,0.0496754,0.053767,16.6436847,0
83103027: Ward 27,46.8626084,18.5914708,4.0454693,10.256887,9.7499557,4.501446,1.5850534,0.2782013,0.0370619,0,0.0175169,0,4.0743293,0
83103028: Ward 28,36.9820843,10.3440697,2.9528724,10.2791612,10.7793489,8.0728064,3.9644834,1.0554784,0.2306397,0.0416381,0.040944,0.0177328,15.2387406,0
83103029: Ward 29,44.7688359,16.3004119,3.9189722,12.7680142,6.5278872,3.6237898,1.7158907,1.1518786,0.3849376,0.0475465,0,0,8.4438243,0.3480112
83104001: Ward 1,37.5039253,25.084671,3.7630045,12.7187566,8.9658064,4.5784951,2.274317,0.6479466,0.2336808,0.1091331,0.0885625,0.0205706,4.0111303,0
83104002: Ward 2,36.1265939,20.8135536,3.0488775,20.080481,6.0751732,3.3670709,2.1725805,0.8067285,0.2067217,0.0307098,0.0307098,0.0226257,7.2181739,0
83104003: Ward 3,46.1523387,12.9174053,3.1776815,12.8119572,6.6731069,4.8141995,3.3603783,1.3799364,0.2852882,0.0368145,0.0543891,0.0368145,4.6295265,3.6701633
83104004: Ward 4,31.3013908,11.905738,4.5315353,16.4350737,8.0190115,3.3151294,2.3525333,1.6984234,1.0590607,0.3775828,0.0183812,0,18.9861399,0
83104005: Ward 5,31.5716392,5.580055,3.6198862,28.2167603,10.7842435,5.0784167,3.451066,1.4587824,0.3488777,0.0271453,0.0641714,0.0354326,8.523179,1.2403448
83104006: Ward 6,45.8881774,9.2139361,2.700403,10.9090978,6.931083,4.7061295,4.9937164,2.0016933,0.9890742,0.1658311,0.165942,0.0538884,9.8171069,1.4639209
83104007: Ward 7,48.0163415,5.0891315,3.5993791,13.8927333,7.7422363,5.7915247,5.1175499,2.4417975,0.3687296,0.120471,0.0765544,0.0539469,6.2602899,1.4293144
83104008: Ward 8,29.5910371,8.5694818,2.4395336,14.3104115,7.7931213,6.0060175,5.8021014,3.8427203,1.6319993,0.3630925,0.2415794,0.1080161,12.2950875,7.0058007
83105001: Ward 1,43.0949727,25.2799851,3.7423153,11.5476828,8.2913809,3.5072595,1.2409086,0.4327123,0.1102828,0.0109404,0.0106605,0,2.7308991,0
83105002: Ward 2,39.4599827,29.7145768,3.3088072,10.7962439,8.6142585,3.4406132,1.385856,0.2770463,0.0710291,0,0.0504261,0.0100319,2.8443607,0.0267675
83105003: Ward 3,43.8766452,27.5437075,2.5939905,10.1725208,8.7508669,3.1735825,0.7011591,0.2896085,0.0439699,0,0.0282072,0.0142864,2.8114555,0
83105004: Ward 4,45.0046304,20.8255784,2.7374685,7.9509097,6.560418,3.5737616,3.4776866,2.0966727,0.3826084,0.0366319,0.1455435,0.1169214,5.9622298,1.1289391
83105005: Ward 5,45.409886,28.054831,2.5899287,13.3041751,5.2694031,1.8815725,0.5658904,0.3430761,0.0985576,0.0652641,0.0504296,0.0334023,1.4848258,0.8487577
83105006: Ward 6,39.939809,29.6360348,2.7150559,9.2948673,6.8265813,2.967746,1.0045966,0.4028479,0.1266584,0.0111089,0.0111089,0.0203513,7.0432338,0
83105007: Ward 7,43.7297033,27.3931593,2.1759323,16.0644476,5.4831786,2.1322781,0.8278219,0.3669997,0.057748,0.011603,0.0235327,0.0119297,1.7216658,0
83105008: Ward 8,44.2186644,29.833322,2.6032301,14.0948851,4.332712,1.9135266,0.9128124,0.4012113,0.0794899,0.0446001,0.0520171,0.0257194,1.4878096,0
83105009: Ward 9,43.9796811,28.7407034,2.7231682,12.9220232,5.6857964,2.1411896,0.5717413,0.2026538,0.0341185,0,0,0,2.9989246,0
83105010: Ward 10,39.0195977,31.2865723,3.7098107,16.4631111,4.455733,1.6965609,1.0674488,0.4452518,0.1704356,0.015148,0,0,1.6703301,0
83105011: Ward 11,45.706204,28.5952061,4.1823622,11.3528731,4.1711515,2.1342422,1.0317133,0.4369706,0.0507653,0.0142351,0.0099642,0.0099642,2.2870076,0.0173405
83105012: Ward 12,43.2836193,28.7859362,1.8698569,13.380054,5.7352266,2.3472507,0.8250957,0.2282643,0.1230864,0.0173489,0,0.0173489,3.386912,0
83105013: Ward 13,47.6323361,20.707196,2.8209688,11.6407322,5.8957795,3.3076426,3.1060031,1.9886492,0.4014312,0.030075,0.0750524,0.1472226,2.0168365,0.2300747
83105014: Ward 14,43.1860231,26.5490497,3.3022117,9.6854328,7.6099689,3.5480187,2.3098215,0.6807227,0.0893754,0.0479497,0.0397536,0.0079916,2.9436806,0
83105015: Ward 15,42.229868,30.5392562,2.3312732,14.3996164,5.0483893,2.9293087,0.8654706,0.1984561,0.0232076,0,0,0.0112287,1.4239252,0
83105016: Ward 16,40.3486915,30.0749687,2.7192955,14.7554424,5.5505242,2.9843745,1.1595065,0.2624986,0.0845314,0.0237118,0.0237118,0,2.0021984,0.0105448
83105017: Ward 17,39.671694,28.1389124,3.0503512,12.7533763,7.2581978,3.1827341,1.4030515,0.2725727,0.1065636,0,0,0,4.1625464,0
83105018: Ward 18,42.317003,29.1960906,3.4912013,12.2542951,7.2012246,2.5489417,0.8790286,0.1756366,0.0356044,0.0240997,0,0,1.7667563,0.1101182
83105019: Ward 19,44.3489795,24.3963062,4.4868819,11.0414987,7.6732471,3.045724,1.140212,0.5300855,0.1066757,0.0303777,0.0106374,0.0183961,3.1709782,0
83105020: Ward 20,42.8197441,26.6681571,2.7020895,11.4760386,8.4751794,3.2873466,1.1509905,0.2718967,0.0716097,0.0242419,0.0081172,0.0081172,3.0083844,0.0280873
83105021: Ward 21,40.7059232,27.3370881,2.6661985,16.8559727,5.9972681,2.3944776,0.9420941,0.3965671,0.1033072,0.0249096,0.0121666,0.0249096,2.5391175,0
83105022: Ward 22,43.632523,29.0489327,2.3112563,8.6401416,7.4197654,2.7756773,1.0479544,0.3584736,0.1046552,0.0106744,0.0103821,0.0207643,4.6187996,0
83105023: Ward 23,43.5803104,27.5641808,2.6660771,15.2390268,5.5123051,2.1090199,0.8735341,0.4540377,0.0767388,0.0390664,0.0261224,0.0123465,1.8472342,0
83105024: Ward 24,43.0764296,28.0264523,2.2335551,15.6591524,4.2374614,2.2683161,1.1242698,0.4460052,0,0.0110942,0,0.0327147,2.5095931,0.3749562
83105025: Ward 25,38.9405891,27.8847945,3.3794586,14.8906075,7.0657386,3.1340639,1.5238017,0.5040662,0.1808551,0.0139526,0.0146136,0.0460263,2.2028997,0.2185326
83105026: Ward 26,36.7345811,32.4153812,2.9317542,15.3920155,5.7361794,2.4902161,1.1860359,0.3667494,0.0298132,0,0,0,1.5411895,1.1760845
83105027: Ward 27,39.0058132,30.4747639,2.2839825,16.3737222,6.6750421,2.3954828,0.9745436,0.2774196,0.0546569,0.0135885,0,0,1.4709849,0
83105028: Ward 28,38.4712735,28.4717294,3.0732075,16.8466642,6.848975,2.8529482,1.560588,0.4216022,0.0491906,0.0325427,0.0166479,0.0158948,1.3110745,0.0276614
83105029: Ward 29,39.8464303,25.8846354,2.1006808,17.3963556,5.0740475,3.109531,1.4047206,0.9468903,0.0973195,0.0193796,0,0,4.1200094,0
83105030: Ward 30,44.1738136,28.4406067,2.5869616,11.4899662,5.8876123,2.3927847,0.4988071,0.2169729,0.0419652,0.0209826,0.0103228,0,4.1678629,0.0713413
83105031: Ward 31,39.8679991,29.0769957,2.4867004,15.0970193,5.4102791,2.2160833,0.8917004,0.2791691,0.1285278,0,0.012006,0.012006,4.5215137,0
83105032: Ward 32,46.3821808,9.88055,2.5952297,10.9150934,3.666839,4.2477672,7.7178878,7.7341797,1.8328583,0.2664631,0.0353054,0.3047894,4.3901356,0.0307206
83106001: Ward 1,46.0951024,26.4777326,2.5721895,12.8045533,3.2878387,2.3857484,2.6153284,1.4392464,0.1296348,0.0712587,0,0.0426933,2.0786735,0
83106002: Ward 2,44.1771929,29.5110938,3.1220338,10.8481916,3.606038,2.2925721,2.1396001,0.9479558,0.0972332,0.0264519,0.0119579,0,2.0845439,1.1351351
83106003: Ward 3,47.3522256,24.0517891,3.3012237,14.1464373,4.087109,2.3424174,1.5609322,0.5895023,0.111269,0.0165787,0.0478393,0.0165787,2.3760977,0
83106004: Ward 4,44.5489589,26.5141792,3.4983295,14.6874831,3.0197723,2.5880541,1.361144,0.5064175,0.0786932,0,0,0.013547,3.1834212,0
83106005: Ward 5,49.1855251,20.0145961,1.7830623,10.8928601,2.7647185,3.3649656,5.0566847,4.0262969,0.3378164,0.0843763,0.0419588,0.0146136,2.1532901,0.2792354
