Summation Options,Geography,Highest educational level,Count
Person weighted,10101005: Ward 5,Grade 12 / Std 10 / Form 5,15.7988333
Person weighted,10101005: Ward 5,NTC I / N1/ NIC/ V Level 2,0.0752721
Person weighted,10101005: Ward 5,NTC II / N2/ NIC/ V Level 3,0.2165514
Person weighted,10101005: Ward 5,NTC III /N3/ NIC/ V Level 4,0.2570586
Person weighted,10101005: Ward 5,N4 / NTC 4,0.1381635
Person weighted,10101005: Ward 5,N5 /NTC 5,0.1563916
Person weighted,10101005: Ward 5,N6 / NTC 6,0.6783061
Person weighted,10101005: Ward 5,Certificate with less than Grade 12 / Std 10,0.0163302
Person weighted,10101005: Ward 5,Diploma with less than Grade 12 / Std 10,0.0849884
Person weighted,10101005: Ward 5,Certificate with Grade 12 / Std 10,0.4613686
Person weighted,10101005: Ward 5,Diploma with Grade 12 / Std 10,2.0489353
Person weighted,10101005: Ward 5,Higher Diploma,2.8571137
Person weighted,10101005: Ward 5,Post Higher Diploma Masters; Doctoral Diploma,0.3109553
Person weighted,10101005: Ward 5,Bachelors Degree,1.7136475
Person weighted,10101005: Ward 5,Bachelors Degree and Post graduate Diploma,0.4576027
Person weighted,10101005: Ward 5,Honours degree,0.4552194
Person weighted,10101005: Ward 5,Higher Degree Masters / PhD,0.2273325
Person weighted,10101005: Ward 5,Other,0.3458458
Person weighted,10101005: Ward 5,No schooling,5.2096565
Person weighted,10101005: Ward 5,Unspecified,0
Person weighted,10101005: Ward 5,Not applicable,10.9042965
Person weighted,10101005: Ward 5,Total,100
Person weighted,10101006: Ward 6,Gade 0,4.2681704
Person weighted,10101006: Ward 6,Grade 1 / Sub A,2.8044774
Person weighted,10101006: Ward 6,Grade 2 / Sub B,2.7804163
Person weighted,10101006: Ward 6,Grade 3 / Std 1/ABET 1Kha Ri Gude;SANLI,3.4245631
Person weighted,10101006: Ward 6,Grade 4 / Std 2,3.0263671
Person weighted,10101006: Ward 6,Grade 5 / Std 3/ABET 2,4.2350196
Person weighted,10101006: Ward 6,Grade 6 / Std 4,5.7393733
Person weighted,10101006: Ward 6,Grade 7 / Std 5/ ABET 3,7.3430834
Person weighted,10101006: Ward 6,Grade 8 / Std 6 / Form 1,9.0894991
Person weighted,10101006: Ward 6,Grade 9 / Std 7 / Form 2/ ABET 4,9.8398066
Person weighted,10101006: Ward 6,Grade 10 / Std 8 / Form 3,11.3237977
Person weighted,10101006: Ward 6,Grade 11 / Std 9 / Form 4,4.570599
Person weighted,10101006: Ward 6,Grade 12 / Std 10 / Form 5,12.8617887
Person weighted,10101006: Ward 6,NTC I / N1/ NIC/ V Level 2,0.1812187
Person weighted,10101006: Ward 6,NTC II / N2/ NIC/ V Level 3,0.2205944
Person weighted,10101006: Ward 6,NTC III /N3/ NIC/ V Level 4,0.0486858
Person weighted,10101006: Ward 6,N4 / NTC 4,0.118341
Person weighted,10101006: Ward 6,N5 /NTC 5,0.0535622
Person weighted,10101006: Ward 6,N6 / NTC 6,0.0831048
Person weighted,10101006: Ward 6,Certificate with less than Grade 12 / Std 10,0.0344797
Person weighted,10101006: Ward 6,Diploma with less than Grade 12 / Std 10,0
Person weighted,10101006: Ward 6,Certificate with Grade 12 / Std 10,0.1778075
Person weighted,10101006: Ward 6,Diploma with Grade 12 / Std 10,0.6969763
Person weighted,10101006: Ward 6,Higher Diploma,0.6250277
Person weighted,10101006: Ward 6,Post Higher Diploma Masters; Doctoral Diploma,0.0672529
Person weighted,10101006: Ward 6,Bachelors Degree,0.3138512
Person weighted,10101006: Ward 6,Bachelors Degree and Post graduate Diploma,0.0986129
Person weighted,10101006: Ward 6,Honours degree,0.1531275
Person weighted,10101006: Ward 6,Higher Degree Masters / PhD,0.0337231
Person weighted,10101006: Ward 6,Other,0.1235849
Person weighted,10101006: Ward 6,No schooling,5.1486506
Person weighted,10101006: Ward 6,Unspecified,0
Person weighted,10101006: Ward 6,Not applicable,10.5144376
Person weighted,10101006: Ward 6,Total,100
Person weighted,10101007: Ward 7,Gade 0,3.0888092
Person weighted,10101007: Ward 7,Grade 1 / Sub A,2.6856568
Person weighted,10101007: Ward 7,Grade 2 / Sub B,2.2423565
Person weighted,10101007: Ward 7,Grade 3 / Std 1/ABET 1Kha Ri Gude;SANLI,2.7808128
Person weighted,10101007: Ward 7,Grade 4 / Std 2,3.4901942
Person weighted,10101007: Ward 7,Grade 5 / Std 3/ABET 2,4.4923863
Person weighted,10101007: Ward 7,Grade 6 / Std 4,6.1488674
Person weighted,10101007: Ward 7,Grade 7 / Std 5/ ABET 3,7.132205
Person weighted,10101007: Ward 7,Grade 8 / Std 6 / Form 1,9.3531094
Person weighted,10101007: Ward 7,Grade 9 / Std 7 / Form 2/ ABET 4,7.3677719
Person weighted,10101007: Ward 7,Grade 10 / Std 8 / Form 3,9.068596
Person weighted,10101007: Ward 7,Grade 11 / Std 9 / Form 4,3.5065968
Person weighted,10101007: Ward 7,Grade 12 / Std 10 / Form 5,14.5006665
Person weighted,10101007: Ward 7,NTC I / N1/ NIC/ V Level 2,0.1013594
Person weighted,10101007: Ward 7,NTC II / N2/ NIC/ V Level 3,0.197239
Person weighted,10101007: Ward 7,NTC III /N3/ NIC/ V Level 4,0.1864229
Person weighted,10101007: Ward 7,N4 / NTC 4,0.1184822
Person weighted,10101007: Ward 7,N5 /NTC 5,0.0697895
Person weighted,10101007: Ward 7,N6 / NTC 6,0.2035823
Person weighted,10101007: Ward 7,Certificate with less than Grade 12 / Std 10,0.0397742
Person weighted,10101007: Ward 7,Diploma with less than Grade 12 / Std 10,0.0697895
Person weighted,10101007: Ward 7,Certificate with Grade 12 / Std 10,0.2283332
Person weighted,10101007: Ward 7,Diploma with Grade 12 / Std 10,0.9596687
Person weighted,10101007: Ward 7,Higher Diploma,1.1556221
Person weighted,10101007: Ward 7,Post Higher Diploma Masters; Doctoral Diploma,0.1172163
Person weighted,10101007: Ward 7,Bachelors Degree,0.650394
Person weighted,10101007: Ward 7,Bachelors Degree and Post graduate Diploma,0.1638343
Person weighted,10101007: Ward 7,Honours degree,0.2222654
Person weighted,10101007: Ward 7,Higher Degree Masters / PhD,0.1671954
Person weighted,10101007: Ward 7,Other,0.0397742
Person weighted,10101007: Ward 7,No schooling,5.4887195
Person weighted,10101007: Ward 7,Unspecified,0
Person weighted,10101007: Ward 7,Not applicable,13.9625087
Person weighted,10101007: Ward 7,Total,100
Person weighted,10101008: Ward 8,Gade 0,3.7147569
Person weighted,10101008: Ward 8,Grade 1 / Sub A,3.9953226
Person weighted,10101008: Ward 8,Grade 2 / Sub B,3.1301026
Person weighted,10101008: Ward 8,Grade 3 / Std 1/ABET 1Kha Ri Gude;SANLI,3.730043
Person weighted,10101008: Ward 8,Grade 4 / Std 2,3.2527416
Person weighted,10101008: Ward 8,Grade 5 / Std 3/ABET 2,5.3308027
Person weighted,10101008: Ward 8,Grade 6 / Std 4,6.4259031
Person weighted,10101008: Ward 8,Grade 7 / Std 5/ ABET 3,9.4084029
Person weighted,10101008: Ward 8,Grade 8 / Std 6 / Form 1,11.8657572
Person weighted,10101008: Ward 8,Grade 9 / Std 7 / Form 2/ ABET 4,7.3619479
Person weighted,10101008: Ward 8,Grade 10 / Std 8 / Form 3,7.0713524
Person weighted,10101008: Ward 8,Grade 11 / Std 9 / Form 4,3.2046925
Person weighted,10101008: Ward 8,Grade 12 / Std 10 / Form 5,9.9381723
Person weighted,10101008: Ward 8,NTC I / N1/ NIC/ V Level 2,0.0126019
Person weighted,10101008: Ward 8,NTC II / N2/ NIC/ V Level 3,0.125402
Person weighted,10101008: Ward 8,NTC III /N3/ NIC/ V Level 4,0.17042
Person weighted,10101008: Ward 8,N4 / NTC 4,0.0331051
Person weighted,10101008: Ward 8,N5 /NTC 5,0.0749977
